항목명,코드,코드의미 및 단위
주중여가활동_동반자코드,6,기타(    )
주말여가활동_동반자코드,1,가족과 함께
주말여가활동_동반자코드,2,친구(연인 포함)와 함께
주말여가활동_동반자코드,3,동호회(종교 단체 등 포함) 활동을 통해서
주말여가활동_동반자코드,4,혼자서
주말여가활동_동반자코드,5,직장 동료와 함께 
주말여가활동_동반자코드,6,기타(    )
여가활용_만족도코드,1,매우 만족
여가활용_만족도코드,2,약간 만족
여가활용_만족도코드,3,보통
여가활용_만족도코드,4,약간 불만족
여가활용_만족도코드,5,매우 불만족
여가활용_불만족사유코드,1,경제적 부담 때문에
여가활용_불만족사유코드,2,시간이 부족해서
여가활용_불만족사유코드,3,교통 혼잡 및 이용 교통수단이 불편해서
여가활용_불만족사유코드,4,여가 시설이 부족해서
여가활용_불만족사유코드,5,여가 정보 및 프로그램이 부족해서
여가활용_불만족사유코드,6,적당한 취미가 없어서
여가활용_불만족사유코드,7,체력이나 건강이 좋지 않아서
여가활용_불만족사유코드,8,여가를 함께 즐길 사람이 없어서
여가활용_불만족사유코드,9,기타(   )
향후희망여가활동_1순위코드,1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
향후희망여가활동_1순위코드,2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
향후희망여가활동_1순위코드,3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
향후희망여가활동_1순위코드,4,스포츠 관람
향후희망여가활동_1순위코드,5,"스포츠 활동(축구, 테니스, 골프, 당구, 체조, 승마 등)"
향후희망여가활동_1순위코드,6,"관광 활동(국내·해외 여행, 캠핑 등)"
향후희망여가활동_1순위코드,7,"컴퓨터 게임, 인터넷 검색 등"
향후희망여가활동_1순위코드,8,"취미·자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
향후희망여가활동_1순위코드,9,"휴식 활동(수면, 사우나 등)"
향후희망여가활동_1순위코드,10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
향후희망여가활동_1순위코드,11,기타(    )
향후희망여가활동_2순위코드,,앞으로 하고 싶은 여가 활동[1순위] 코드 참조
향후희망여가활동_3순위코드,,앞으로 하고 싶은 여가 활동[1순위] 코드 참조
주관적소득수준코드,1,매우 여유 있음
주관적소득수준코드,2,약간 여유 있음
주관적소득수준코드,3,적정함
주관적소득수준코드,4,약간 모자람
주관적소득수준코드,5,매우 모자람
소득변화코드,1,크게 증가
소득변화코드,2,약간 증가
소득변화코드,3,동일
소득변화코드,4,약간 감소
소득변화코드,5,크게 감소
부채변화코드,,소득의 변화 코드 참조
내년가구재정상태코드,1,매우 좋아질 것임
내년가구재정상태코드,2,약간 좋아질 것임
내년가구재정상태코드,3,변화 없을 것임
내년가구재정상태코드,4,약간 나빠질 것임
내년가구재정상태코드,5,매우 나빠질 것임
긴축소비지출항목_1순위코드,1,식료품비
긴축소비지출항목_1순위코드,2,외식비
긴축소비지출항목_1순위코드,3,의료비
긴축소비지출항목_1순위코드,4,교육비
긴축소비지출항목_1순위코드,5,교통·통신비(차량 유지비 포함)
긴축소비지출항목_1순위코드,6,문화·여가비
긴축소비지출항목_1순위코드,7,보건·의료비
긴축소비지출항목_1순위코드,8,연료비(전기·가스 등)
긴축소비지출항목_1순위코드,9,경조사비
긴축소비지출항목_1순위코드,10,기타(    )
긴축소비지출항목_2순위코드,,긴축 소비 지출 항목[1순위] 코드 참조
긴축소비지출항목_3순위코드,,긴축 소비 지출 항목[1순위] 코드 참조
현재소득여부,1,있다
현재소득여부,2,없다
소득만족도코드,1,매우 만족
소득만족도코드,2,약간 만족
소득만족도코드,3,보통
소득만족도코드,4,약간 불만족
소득만족도코드,5,매우 불만족
소비생활만족도코드,1,매우 만족
소비생활만족도코드,2,약간 만족
소비생활만족도코드,3,보통
소비생활만족도코드,4,약간 불만족
소비생활만족도코드,5,매우 불만족
직업선택요인_1순위코드,1,명예·명성
직업선택요인_1순위코드,2,안정성
직업선택요인_1순위코드,3,수입
직업선택요인_1순위코드,4,적성·흥미
직업선택요인_1순위코드,5,보람·자아 성취
직업선택요인_1순위코드,6,발전성·장래성
직업선택요인_1순위코드,7,기타(     )
