원본컬럼(df1),매칭컬럼(df2),유사도
일가정양립제도인지도_출산전후휴가제인지여부,일가정양립제도인지도_출산전후휴가제인지여부,100.0000
임금근로자구분코드,임금근로자구분,87.5000
자녀유무,자녀유무,100.0000
자식세대_계층이동코드,자식세대_계층이동,90.0000
자원봉사_아동청소년노인장애인재소자관련시간수,자원봉사_아동청소년노인장애인재소자관련시간수,100.0000
자원봉사_아동청소년노인장애인재소자관련횟수,자원봉사_아동청소년노인장애인재소자관련횟수,100.0000
자원봉사활동_교육_1회평균활동시간수,자원봉사활동_교육_1회평균활동시간수,100.0000
자원봉사활동_교육_연간참여총횟수,자원봉사활동_교육_연간참여총횟수,100.0000
자원봉사활동_국가및지역행사관련시간수,자원봉사활동_국가및지역행사관련시간수,100.0000
자원봉사활동_국가및지역행사관련주기코드,자원봉사활동_국가및지역행사관련주기,94.7368
자원봉사활동_국가및지역행사관련횟수,자원봉사활동_국가및지역행사관련횟수,100.0000
자원봉사활동_국가지역행사관련시간수,자원봉사활동_국가지역행사관련시간수,100.0000
자원봉사활동_국가지역행사관련횟수,자원봉사활동_국가지역행사관련횟수,100.0000
자원봉사활동_국제협력해외봉사_1회평균활동시간수,자원봉사활동_국제협력해외봉사_1회평균활동시간수,100.0000
자원봉사활동_국제협력해외봉사_연간참여총횟수,자원봉사활동_국제협력해외봉사_연간참여총횟수,100.0000
자원봉사활동_기타일반봉사관련시간수,자원봉사활동_기타일반봉사관련시간수,100.0000
자원봉사활동_기타일반봉사관련주기코드,자원봉사활동_기타일반봉사관련주기,94.4444
자원봉사활동_기타일반봉사관련횟수,자원봉사활동_기타일반봉사관련횟수,100.0000
자원봉사활동_농어촌봉사_1회평균활동시간수,자원봉사활동_농어촌봉사_1회평균활동시간수,100.0000
자원봉사활동_농어촌봉사_연간참여총횟수,자원봉사활동_농어촌봉사_연간참여총횟수,100.0000
자원봉사활동_문화행사_1회평균활동시간수,자원봉사활동_문화행사_1회평균활동시간수,100.0000
자원봉사활동_문화행사_연간참여총횟수,자원봉사활동_문화행사_연간참여총횟수,100.0000
자원봉사활동_보건의료_1회평균활동시간수,자원봉사활동_보건의료_1회평균활동시간수,100.0000
자원봉사활동_보건의료_연간참여총횟수,자원봉사활동_보건의료_연간참여총횟수,100.0000
자원봉사활동_상담_1회평균활동시간수,자원봉사활동_상담_1회평균활동시간수,100.0000
자원봉사활동_상담_연간참여총횟수,자원봉사활동_상담_연간참여총횟수,100.0000
자원봉사활동_생활편의지원_1회평균활동시간수,자원봉사활동_생활편의지원_1회평균활동시간수,100.0000
자원봉사활동_생활편의지원_연간참여총횟수,자원봉사활동_생활편의지원_연간참여총횟수,100.0000
자원봉사활동_아동청소년노인장애인재소자관련시간수,자원봉사활동_아동청소년노인장애인재소자관련시간수,100.0000
자원봉사활동_아동청소년노인장애인재소자관련주기코드,자원봉사활동_아동청소년노인장애인재소자관련주기,96.0000
자원봉사활동_아동청소년노인장애인재소자관련횟수,자원봉사활동_아동청소년노인장애인재소자관련횟수,100.0000
자원봉사활동_안전방범_1회평균활동시간수,자원봉사활동_안전방범_1회평균활동시간수,100.0000
자원봉사활동_안전방범_연간참여총횟수,자원봉사활동_안전방범_연간참여총횟수,100.0000
자원봉사활동_인권공익_1회평균활동시간수,자원봉사활동_인권공익_1회평균활동시간수,100.0000
자원봉사활동_인권공익_연간참여총횟수,자원봉사활동_인권공익_연간참여총횟수,100.0000
자원봉사활동_자녀교육관련시간수,자원봉사활동_자녀교육관련시간수,100.0000
자원봉사활동_자녀교육관련주기코드,자원봉사활동_자녀교육관련주기,93.7500
자원봉사활동_자녀교육관련횟수,자원봉사활동_자녀교육관련횟수,100.0000
자원봉사활동_재해재난응급_1회평균활동시간수,자원봉사활동_재해재난응급_1회평균활동시간수,100.0000
자원봉사활동_재해재난응급_연간참여총횟수,자원봉사활동_재해재난응급_연간참여총횟수,100.0000
